"Paper_id","citation","citation_short"
1,"Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
2,"Kaspar, T.C., Jaynes, D.B., Parkin, T.B., Moorman, T.B. & Singer, J.W.  (2012). Effectiveness of oat and rye cover crops in reducing nitrate losses in drainage water. Agricultural Water Management, 110: 25-33. DOI: 10.1016/j.agwat.2012.03.010","Kaspar et al. (2012)"
3,"Grebliunas, B.D., Armstrong, S.D. & Perry W.L. (2016). Changes in water-extractable organic carbon with cover crop planting under continuous corn silage production. Air, Soil and Water Research, 9: 45-54. DOI: 10.4137/ASWR.S30708","Grebliunas et al. (2016)"
4,"Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B. (2016). Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields. Agriculture, Ecosystems and Environment, 216: 322-332. DOI: 10.1016/j.agee.2015.10.014","Welch et al. (2016)"
5,"Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E. (2017). Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean. Weed Technology, 31: 487-495. DOI: 10.1017/wet.2017.30","Loux et al. (2017)"
6,"Johnson, G.A., Defelice, M.S. & Helsel, Z.R. (1993). Cover crop management and weed control in Corn (Zea mays). Weed Technology, 7(2): 425-430. DOI: 10.1017/S0890037X00027834","Johnson et al. (1993)"
7,"Jarecki, M.K., Parkin, T.B., Chan, A.S.L., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. & Jones, R.  (2009). Cover crop effects on nitrous oxide emission from a manure-treated Mollisol. Agriculture, Ecosystems and Environment, 134: 29-35. DOI: 10.1016/j.agee.2009.05.008","Jarecki et al. (2009)"
8,"Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G. (2012). Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five. Weed Science, 60: 634-640. DOI: 10.1614/WS-D-11-00192.1","Mock et al. (2012)"
9,"Hammond, R. B. (1991). Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean. Journal of the Kansas Entomological Society, 64(2): 216-220. DOI: http://www.jstor.org/stable/25085273","Hammond (1991)"
10,"Johnson, T.J., Kaspar, T.C., Kohler, K.A., Corak, S.J., & Logsdon, S.D.  (1998). Oat and rye overseeded into soybean as fall cover crops in the upper Midwest. Journal of Soil and Water Conservation, 53(3): 276-279. DOI: Unavailable","Johnson et al. (1998)"
11,"Williams, M.M. II, Mortensen, D.A., & Doran, J.W.  (2000). No-tillage soybean performance in cover crops for weed management in western Corn Belt. Journal of Soil and Water Conservation, 55(1): 79-84. DOI: Unavailable","Williams et al. (2000)"
12,"Rasse, D.P., Ritchie, J.T., Peterson, W.R., Wei, J., & Smucker, A.J.M. (2000). Rye cover crop and nitrogen fertilization effects on nitrate leaching in inbred maize fields. Journal of Environmental Quality, 29(1): 298-304. DOI: 10.2134/jeq2000.00472425002900010037x","Rasse et al. (2000)"
13,"Kaspar, T.C., Radke, J.K, & Laflen, J.M. (2001). Small grain cover crops and wheel traffic effects on infiltration, runoff, and erosion. Journal of Soil and Water Conservation, 56(2): 160-164. DOI: Unavailable","Kaspar et al. (2001)"
14,"Strock, J.S., Porter, P.M., & Russelle, M.P. (2004). Cover cropping to reduce nitrate loss through subsurface drainage in the Northern U.S. Corn Belt. Journal of Environmental Quality, 33(3): 1010-116. DOI: 10.2134/jeq2004.1010","Strock et al. (2004)"
15,"Cambardella, C.A., Moorman, T.B., & Singer, J.W.  (2010). Soil nitrogen response to coupling cover crops with manure injection. Nutrient Cycling in Agroecosystems, 87: 383-393. DOI: 10.1007/s10705-010-9345-9","Cambardella et al. (2010)"
16,"Lundgren, J.G, & Fergen, J.K (2010). The effects of a winter cover crop on Diabrotica virgifera (Coleoptera: Chrysomelidae) populations and beneficial arthropod communities in no-till maize. Environmental Entomology, 39(6): 1816-1828. DOI: 10.1603/EN10041","Lundgren & Fergen (2010)"
17,"Qi, Z., Helmers, M.J., Kaleita, A.L. (2010). Soil water dynamics under various agricultural land covers on a subsurface drained field in north-central Iowa, USA. Agricultural Water Management, 98: 665-674. DOI: 10.1016/j.agwat.2010.11.004","Qi et al. (2010)"
18,"Qi, Z., Helmers, M.J., Christianson, R.D., & Pederson, C.H. (2011). Nitrate-nitrogen losses through subsurface drainage under various agricultural land covers. Journal of Environmental Quality, 40: 1578-1585. DOI: 10.2134/jeq2011.0151","Qi et al. (2011)"
19,"Koch, R.L., Porter, P.M., Harbur, M.M., Abrahamson, M.D., Wyckhuys, K.A.G., Ragsdale, D.W., Buchman, K., Sexen, Z., & Heimpel, G.E. (2012). Response of soybean insects to an autumn-seeded rye cover crop. Environmental Entomology, 41(4): 750-760. DOI: 10.1603/EN11168","Koch et al. (2012)"
20,"Mitchell, D.C., Castellano, M.J., Sawyer, J.E, & Pantoja, J. (2013). Cover crop effects on nitrous oxide emission: Role of mineralizable carbon. Soil Science Society of America Journal, 77: 1765-1773. DOI: 10.2136/sssaj2013.02.0074","Mitchell et al. (2013)"
21,"Krueger, E.S., Baker, J.M., Ochsner, T.E., Wente, C.D., Feyereisen, G.W. & Reicosky, D.C. (2013). On-farm environmental assessment of corn silage production systems receiving liquid dairy manure. Journal of Soil and Water Conservation, 68(6): 438-449. DOI: 10.2489/jswc.68.6.438","Krueger et al. (2013)"
22,"Silva, E.M. (2014). Screening five fall-sown cover crops for use in organic no-till crop production in the upper Midwest. Agroecology and Sustainable Food Systems, 38: 748-763. DOI: 10.1080/21683565.2014.901275","Silva (2014)"
23,"Daigh, E.L., Helmers, M.J., Kladivko, E., Zhou, X., Goeken, R., Cavdini, J., Barker, D., & Sawyer, J. (2014). Soil water during the drought of 2012 as affected by rye cover crops in fields in Iowa and Indiana. Journal of Soil and Water Conservation, 69(6): 564-573. DOI: 10.2489/jswc.69.6.564","Daigh et al. (2014)"
24,"de Paul Obade, V. & Lal, R. (2014). Soil quality evaluation under different land management practices. Journal of Environmental Earth Sciences, 72: 4531-4549. DOI: 10.1007/s12665-014-3353-z","de Paul Obade & Lal (2014)"
25,"Jarchow, M.E., Liebman, M., Dhungel, S., Dietzel, R., Sundberg, D., Anex, R.P., Thompson, M.L., & Chua, T. (2015). Trade-offs among agronomic, energetic, and environmental performance characteristics of corn and prairie bioenergy cropping systems. Global Change Biology Bioenergy, 7: 57-71. DOI: 10.1111/gcbb.12096","Jarchow et al. (2015)"
26,"Stefani Faé, G., Sulc, R.M., Barker, D.J., Dick, R.P., Eastridge, M.L., & Lorenz, N. (2009). Integrating winter annual forages into a no-till corn silage system. Agronomy Journal, 101: 1286-1296. DOI: 10.2134/agronj2009.0144","Stefani Fae et al. (2009)"
27,"Haruna, S.I., & Nkongolo, N.V. (2015). Effects of tillage, rotation and cover crop on the physical properties of a silt-loam soil. International Agrophysics, 29: 137-145. DOI: 10.1515/intag-2015-0030","Haruna & Nkongolo (2015)"
28,"Pantoja, J.L, Woli, K.P., Sawyer, J.E., & Barker, D.W. (2015). Corn nitrogen fertilization requirement and corn-soybean productivity with a rye cover crop. Soil Science Society of America Journal, 79: 1482-1495. DOI: 10.2136/sssaj2015.02.0084","Pantoja et al. (2015)"
29,"Koch, R.L., Sezen, Z., Porter, P.M., Ragsdale, D.W., Wyckhuys, K.A.G., & Heimpel, G.E. (2015). On-farm evaluation of a fall-seeded rye cover crop for suppression of soybean aphid (Hemiptera: Aphididae) on soybean. Agricultural and Forest Entomology, 17: 239-246. DOI: 10.1111/afe.12099","Koch et al. (2015)"
30,"Daigh, A.L.M, Zhou, X., Helmers, M.J., Pederson, C.H., Horton, R., Jarchow, M., & Liebman, M. (2015). Subsurface drainage nitrate and total reactive phosphorous losses in bioenergy-based prairies and corn systems. Journal of Environmental Quality, 44: 1638-1646. DOI: 10.2134/jeq2015.02.0080","Daigh et al. (2015)"
31,"Miguez, F.E., & Bollero, G.A. (2006). Winter cover crops in Illinois: Evaluation of ecophysiological characteristics of corn. Crop Science, 46(4): 1536-1545. DOI: 10.2135/cropsci2005.09.0306","Miguez & Bollero (2006)"
